"name","neighbourhood_group","neighbourhood","room_type","price"
"Amazing 2 bedroom apt with  Privet Garden & Office","Manhattan","Harlem","Entire home/apt",230
"Newly Renovated Flat, McKibbin Loft","Brooklyn","Williamsburg","Private room",75
"Beautiful, Comfortable Studio In Midtown!","Manhattan","Midtown","Entire home/apt",260
"The Orchid","Brooklyn","Flatbush","Private room",126
"24/7 Crashpad Centrally Located NextDoor to Subway","Brooklyn","Clinton Hill","Shared room",38
"Furnished Sublet, Manhattan, Harlem","Manhattan","East Harlem","Private room",28
"Clean and Stylish Noho Loft w/ Comfy King Bed","Manhattan","East Village","Entire home/apt",264
"Lower East Side stylish bedroom","Manhattan","Lower East Side","Private room",91
"Modern, newly renovated East Village Apartment","Manhattan","East Village","Entire home/apt",200
"Amazing Astoria New York 2 bedroom 10 min to NYC","Queens","Ditmars Steinway","Entire home/apt",200
"Amazing  3BR 1 Bath near central park","Manhattan","Upper West Side","Entire home/apt",260
"Private apartment","Queens","Ditmars Steinway","Private room",75
"TRIBECA -stunning 4000 sqft loft with private deck","Manhattan","Tribeca","Entire home/apt",1500
"Williamsburg Secret Treasure with deck","Brooklyn","Williamsburg","Private room",60
"Brooklyn Pvt Bedroom with an amazing rooftop!","Brooklyn","Williamsburg","Private room",80
"Discovery","Brooklyn","East Flatbush","Private room",99
"Charming East Village One Bedroom","Manhattan","East Village","Entire home/apt",90
"3.5 MLN 2 bedroom LOFT in TriBeCa","Manhattan","Tribeca","Entire home/apt",345
"Modern high-end studio!","Manhattan","Upper West Side","Entire home/apt",200
"Charming Upper East Side 1 Br on Historic Block","Manhattan","Upper East Side","Entire home/apt",120
"Come stay in super comfy and cozy!","Manhattan","Midtown","Entire home/apt",265
"Bronx zoo,Yankees Stadium, Museum, city","Bronx","Morris Heights","Private room",65
"Astoria close to JFK,Laguardia airport, Manhattan","Queens","Astoria","Private room",90
"Spacious Bedroom in East Village","Manhattan","East Village","Private room",110
"Beautiful, light filled, spacious 2 Bedroom Apt.","Brooklyn","Greenpoint","Entire home/apt",150
"Access to public transportation
Near shopping area","Brooklyn","Midwood","Private room",100
"European Charm","Queens","Ridgewood","Entire home/apt",85
"Vintage Brooklyn Room 1 minute to Subway","Brooklyn","Bedford-Stuyvesant","Private room",68
"Citadines Connect 5th Ave, Presidential Suite","Manhattan","Midtown","Private room",169
"Soho Townhouse","Manhattan","SoHo","Entire home/apt",649
"Clean,quiet room near prospect park","Brooklyn","Crown Heights","Private room",125
"Bright, cozy room in Prospect Heights/Park Slope","Brooklyn","Prospect Heights","Private room",55
"Renovated Studio in Little Italy","Manhattan","Little Italy","Entire home/apt",110
