"neighbourhood","neighbourhood_group","room_type","price","minimum_nights","number_of_reviews"
"Harlem","Manhattan","Entire home/apt",230,5,4
"Williamsburg","Brooklyn","Private room",75,30,0
"Midtown","Manhattan","Entire home/apt",260,30,82
"Flatbush","Brooklyn","Private room",126,2,1
"Clinton Hill","Brooklyn","Shared room",38,5,0
"East Harlem","Manhattan","Private room",28,30,1
"East Village","Manhattan","Entire home/apt",264,3,2
"Lower East Side","Manhattan","Private room",91,1,3
"East Village","Manhattan","Entire home/apt",200,30,7
"Ditmars Steinway","Queens","Entire home/apt",200,30,47
"Upper West Side","Manhattan","Entire home/apt",260,30,1
"Ditmars Steinway","Queens","Private room",75,30,0
"Tribeca","Manhattan","Entire home/apt",1500,30,0
"Williamsburg","Brooklyn","Private room",60,3,7
"Williamsburg","Brooklyn","Private room",80,30,0
"East Flatbush","Brooklyn","Private room",99,1,7
"East Village","Manhattan","Entire home/apt",90,30,2
"Tribeca","Manhattan","Entire home/apt",345,30,1
"Upper West Side","Manhattan","Entire home/apt",200,30,10
"Upper East Side","Manhattan","Entire home/apt",120,30,9
"Midtown","Manhattan","Entire home/apt",265,3,27
"Morris Heights","Bronx","Private room",65,7,14
"Astoria","Queens","Private room",90,1,186
"East Village","Manhattan","Private room",110,30,74
"Greenpoint","Brooklyn","Entire home/apt",150,30,1
"Midwood","Brooklyn","Private room",100,200,20
"Ridgewood","Queens","Entire home/apt",85,31,0
"Bedford-Stuyvesant","Brooklyn","Private room",68,2,11
"Midtown","Manhattan","Private room",169,1,8
"SoHo","Manhattan","Entire home/apt",649,2,30
"Crown Heights","Brooklyn","Private room",125,1,2
"Prospect Heights","Brooklyn","Private room",55,30,17
"Little Italy","Manhattan","Entire home/apt",110,30,5
"Upper East Side","Manhattan","Private room",70,30,0
"Harlem","Manhattan","Entire home/apt",150,30,37
"Sunset Park","Brooklyn","Private room",55,3,3
"Clinton Hill","Brooklyn","Entire home/apt",150,30,3
"Hell's Kitchen","Manhattan","Private room",142,1,354
"Murray Hill","Manhattan","Hotel room",229,1,0
"Midtown","Manhattan","Entire home/apt",300,30,0
"Harlem","Manhattan","Private room",41,30,3
"Long Island City","Queens","Private room",59,20,51
"Bedford-Stuyvesant","Brooklyn","Private room",35,30,0
"Canarsie","Brooklyn","Entire home/apt",153,3,41
"Windsor Terrace","Brooklyn","Entire home/apt",120,30,0
"Lower East Side","Manhattan","Private room",75,2,3
"Midtown","Manhattan","Entire home/apt",85,30,2
"Flatbush","Brooklyn","Private room",74,30,0
"Theater District","Manhattan","Private room",333,1,5
"Williamsburg","Brooklyn","Entire home/apt",115,30,1
"Financial District","Manhattan","Private room",199,1,38
"Sheepshead Bay","Brooklyn","Private room",50,30,0
"Fresh Meadows","Queens","Entire home/apt",833,30,0
"Harlem","Manhattan","Entire home/apt",175,30,3
"Bedford-Stuyvesant","Brooklyn","Private room",80,30,76
"Bedford-Stuyvesant","Brooklyn","Private room",40,30,0
"Inwood","Manhattan","Entire home/apt",50,30,1
"Edgemere","Queens","Entire home/apt",70,4,5
"Upper East Side","Manhattan","Entire home/apt",60,180,0
"Midtown","Manhattan","Private room",310,1,0
"Clinton Hill","Brooklyn","Entire home/apt",170,6,45
"East Elmhurst","Queens","Private room",50,1,98
"Woodside","Queens","Private room",49,30,9
"Nolita","Manhattan","Entire home/apt",180,30,0
"Bedford-Stuyvesant","Brooklyn","Private room",29,30,0
"Sheepshead Bay","Brooklyn","Entire home/apt",100,2,3
"East Village","Manhattan","Entire home/apt",95,30,0
"Downtown Brooklyn","Brooklyn","Entire home/apt",191,30,0
"Edenwald","Bronx","Private room",125,30,11
"Crown Heights","Brooklyn","Entire home/apt",101,1,10
"New Dorp Beach","Staten Island","Private room",65,3,29
"Bedford-Stuyvesant","Brooklyn","Private room",75,1,0
"East Flatbush","Brooklyn","Entire home/apt",80,13,6
"Harlem","Manhattan","Entire home/apt",89,30,1
"SoHo","Manhattan","Entire home/apt",140,30,5
"Crown Heights","Brooklyn","Private room",70,30,6
"Crown Heights","Brooklyn","Private room",35,30,1
"St. George","Staten Island","Private room",39,3,2
"Greenpoint","Brooklyn","Private room",40,30,0
"Upper East Side","Manhattan","Entire home/apt",120,30,13
"Midtown","Manhattan","Private room",134,1,0
"Hell's Kitchen","Manhattan","Entire home/apt",100,30,1
"South Slope","Brooklyn","Entire home/apt",75,30,3
"Upper East Side","Manhattan","Private room",140,3,139
"Harlem","Manhattan","Entire home/apt",250,30,0
"Harlem","Manhattan","Entire home/apt",133,3,32
"Midtown","Manhattan","Entire home/apt",295,45,0
"Chelsea","Manhattan","Private room",178,30,6
"Upper West Side","Manhattan","Entire home/apt",175,30,8
"Williamsburg","Brooklyn","Entire home/apt",120,30,18
"Cypress Hills","Brooklyn","Entire home/apt",171,2,29
"Chinatown","Manhattan","Private room",150,30,1
"Harlem","Manhattan","Entire home/apt",129,3,1
"Harlem","Manhattan","Private room",42,31,1
"Bushwick","Brooklyn","Private room",25,30,0
"South Ozone Park","Queens","Private room",53,1,57
"Chelsea","Manhattan","Entire home/apt",350,30,0
"Midtown","Manhattan","Entire home/apt",325,30,0
"Long Island City","Queens","Entire home/apt",100,5,0
"Bayswater","Queens","Private room",45,30,3
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",432,30,1
"Chelsea","Manhattan","Entire home/apt",88,30,1
"Upper East Side","Manhattan","Entire home/apt",113,30,0
"East Village","Manhattan","Private room",25,30,0
"Jamaica","Queens","Entire home/apt",110,1,213
"Financial District","Manhattan","Entire home/apt",414,2,13
"Borough Park","Brooklyn","Shared room",50,30,7
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",157,30,0
"Upper West Side","Manhattan","Entire home/apt",99,30,26
"Williamsburg","Brooklyn","Entire home/apt",86,30,0
"East Village","Manhattan","Entire home/apt",125,60,1
"Upper East Side","Manhattan","Entire home/apt",100,30,3
"Upper West Side","Manhattan","Private room",80,3,5
"Pelham Bay","Bronx","Entire home/apt",195,2,5
"Jackson Heights","Queens","Private room",90,30,60
"East Flatbush","Brooklyn","Entire home/apt",68,3,296
"Bushwick","Brooklyn","Private room",40,30,0
"Clinton Hill","Brooklyn","Entire home/apt",100,7,7
"Upper East Side","Manhattan","Entire home/apt",100,7,5
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",146,7,7
"Castleton Corners","Staten Island","Entire home/apt",69,2,68
"Port Morris","Bronx","Entire home/apt",85,12,32
"Bushwick","Brooklyn","Private room",50,30,79
"Midtown","Manhattan","Entire home/apt",349,14,0
"South Ozone Park","Queens","Entire home/apt",99,2,1
"Kips Bay","Manhattan","Entire home/apt",225,30,2
"Fort Greene","Brooklyn","Entire home/apt",157,3,28
"Gramercy","Manhattan","Entire home/apt",85,30,2
"Tribeca","Manhattan","Private room",133,30,30
"Bushwick","Brooklyn","Entire home/apt",51,30,2
"Cobble Hill","Brooklyn","Entire home/apt",275,30,34
"Prospect-Lefferts Gardens","Brooklyn","Private room",34,30,0
"Crown Heights","Brooklyn","Entire home/apt",130,30,186
"Bedford-Stuyvesant","Brooklyn","Private room",67,1,71
"East Elmhurst","Queens","Entire home/apt",135,30,0
"Soundview","Bronx","Private room",59,3,42
"Harlem","Manhattan","Entire home/apt",130,30,5
"Williamsburg","Brooklyn","Private room",44,30,92
"Kew Gardens","Queens","Entire home/apt",100,90,0
"South Slope","Brooklyn","Private room",45,30,5
"Bushwick","Brooklyn","Private room",29,30,0
"East Village","Manhattan","Entire home/apt",250,30,0
"Bushwick","Brooklyn","Entire home/apt",81,30,43
"Midtown","Manhattan","Private room",110,30,8
"Midtown","Manhattan","Entire home/apt",120,30,5
"Harlem","Manhattan","Private room",71,90,6
"Fort Greene","Brooklyn","Entire home/apt",150,30,74
"East Village","Manhattan","Private room",100,30,0
"Crown Heights","Brooklyn","Private room",50,30,6
"West Village","Manhattan","Entire home/apt",250,30,3
"Harlem","Manhattan","Private room",128,3,1
"East Harlem","Manhattan","Private room",49,30,4
"Upper West Side","Manhattan","Entire home/apt",200,30,0
"Long Island City","Queens","Entire home/apt",162,2,6
"Bushwick","Brooklyn","Private room",65,30,18
"Harlem","Manhattan","Private room",65,5,0
"Bedford-Stuyvesant","Brooklyn","Private room",38,1,0
"Crown Heights","Brooklyn","Entire home/apt",96,30,2
"Bedford-Stuyvesant","Brooklyn","Private room",50,30,25
"East Elmhurst","Queens","Entire home/apt",105,1,172
"Nolita","Manhattan","Entire home/apt",160,15,11
"Financial District","Manhattan","Entire home/apt",145,30,0
"Williamsburg","Brooklyn","Private room",50,1,7
"Morningside Heights","Manhattan","Entire home/apt",98,30,0
"Arverne","Queens","Entire home/apt",200,3,53
"Washington Heights","Manhattan","Shared room",100,30,0
"Williamsburg","Brooklyn","Entire home/apt",2000,1,0
"Bedford-Stuyvesant","Brooklyn","Private room",48,30,0
"Harlem","Manhattan","Entire home/apt",250,30,107
"Lower East Side","Manhattan","Entire home/apt",91,30,2
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",92,5,7
"East Flatbush","Brooklyn","Private room",48,1,14
"Jackson Heights","Queens","Entire home/apt",125,30,0
"Upper West Side","Manhattan","Entire home/apt",185,30,1
"Bedford-Stuyvesant","Brooklyn","Private room",48,2,63
"Gowanus","Brooklyn","Entire home/apt",200,30,0
"East Village","Manhattan","Entire home/apt",120,4,1
"East Flatbush","Brooklyn","Entire home/apt",89,7,103
"East Harlem","Manhattan","Entire home/apt",493,4,9
"Elmhurst","Queens","Private room",38,30,0
"Hell's Kitchen","Manhattan","Private room",77,30,0
"Financial District","Manhattan","Entire home/apt",297,2,12
"Crown Heights","Brooklyn","Entire home/apt",200,2,9
"Chelsea","Manhattan","Entire home/apt",160,30,0
"Prospect Heights","Brooklyn","Private room",75,30,108
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",75,30,2
"Greenpoint","Brooklyn","Entire home/apt",75,30,3
"Harlem","Manhattan","Private room",69,30,0
"Bushwick","Brooklyn","Private room",40,35,0
"Hollis","Queens","Private room",83,1,1
"Bedford-Stuyvesant","Brooklyn","Private room",58,30,1
"Corona","Queens","Entire home/apt",163,30,61
"Murray Hill","Manhattan","Entire home/apt",175,28,0
"Oakwood","Staten Island","Entire home/apt",130,2,9
"Bushwick","Brooklyn","Entire home/apt",133,2,52
"Bedford-Stuyvesant","Brooklyn","Private room",50,30,24
"Midtown","Manhattan","Entire home/apt",317,30,0
"Upper East Side","Manhattan","Entire home/apt",400,30,2
"Bay Ridge","Brooklyn","Entire home/apt",130,11,9
"Rockaway Beach","Queens","Private room",121,30,51
"Hell's Kitchen","Manhattan","Entire home/apt",200,90,0
"Upper West Side","Manhattan","Private room",90,1,1
"Bushwick","Brooklyn","Entire home/apt",171,1,68
"Bedford-Stuyvesant","Brooklyn","Private room",250,2,75
"Crown Heights","Brooklyn","Private room",90,1,1
"Flatiron District","Manhattan","Entire home/apt",499,4,12
"Greenwich Village","Manhattan","Entire home/apt",200,30,29
"Harlem","Manhattan","Entire home/apt",99,60,1
"Upper West Side","Manhattan","Private room",90,2,2
"Greenpoint","Brooklyn","Entire home/apt",263,3,56
"SoHo","Manhattan","Entire home/apt",316,30,0
"Williamsburg","Brooklyn","Private room",70,30,0
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",148,3,3
"Flushing","Queens","Private room",56,3,117
"Bedford-Stuyvesant","Brooklyn","Private room",55,30,10
"Chelsea","Manhattan","Private room",413,1,2
"Little Neck","Queens","Shared room",42,30,1
"Fort Hamilton","Brooklyn","Entire home/apt",290,2,0
"Fort Greene","Brooklyn","Private room",135,30,0
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",75,30,45
"Cambria Heights","Queens","Entire home/apt",132,1,2
"Financial District","Manhattan","Entire home/apt",320,2,66
"Chelsea","Manhattan","Entire home/apt",179,2,10
"Harlem","Manhattan","Private room",60,30,4
"Bushwick","Brooklyn","Private room",100,30,0
"Bushwick","Brooklyn","Private room",65,1,2
"Woodside","Queens","Private room",50,30,1
"Harlem","Manhattan","Entire home/apt",450,2,6
"Bedford-Stuyvesant","Brooklyn","Private room",87,3,6
"Gravesend","Brooklyn","Entire home/apt",100,30,2
"Upper East Side","Manhattan","Entire home/apt",139,30,1
"Midtown","Manhattan","Entire home/apt",150,30,1
"Nolita","Manhattan","Private room",97,30,0
"Civic Center","Manhattan","Entire home/apt",100,30,0
"Rockaway Beach","Queens","Private room",65,30,0
"Bedford-Stuyvesant","Brooklyn","Private room",74,1,407
"Harlem","Manhattan","Entire home/apt",120,30,1
"Upper West Side","Manhattan","Private room",87,30,0
"Upper West Side","Manhattan","Entire home/apt",150,30,0
"Ridgewood","Queens","Private room",45,4,4
"Gramercy","Manhattan","Entire home/apt",74,60,0
"Bedford-Stuyvesant","Brooklyn","Private room",32,30,3
"St. Albans","Queens","Private room",89,1,0
"Astoria","Queens","Private room",60,30,15
